PrimaryKey,ShadedRegionID,ComponentID,ComponentStrokes,StrokesRemaining,Kanji,KanjiID,Occurrences,TotalStrokes
1.人,1,1,2,0,人,15,2,2
1.化,1,1,2,2,化,414,2,4
1.仏,1,1,2,2,仏,416,2,4
1.仁,1,1,2,2,仁,1879,1,4
1.仕,1,1,2,3,仕,236,1,5
1.付,1,1,2,3,付,365,2,5
1.代,1,1,2,3,代,413,1,5
1.他,1,1,2,3,他,415,2,5
1.仙,1,1,2,3,仙,1880,1,5
1.休,1,1,2,4,休,138,1,6
1.伝,1,1,2,4,伝,278,1,6
1.件,1,1,2,4,件,482,1,6
1.任,1,1,2,4,任,639,1,6
1.仰,1,1,2,4,仰,1134,1,6
1.仮,1,1,2,4,仮,1141,2,6
1.仲,1,1,2,4,仲,1169,1,6
1.伏,1,1,2,4,伏,1421,1,6
1.伐,1,1,2,4,伐,1422,2,6
1.伎,1,1,2,4,伎,2127,1,6
1.何,1,1,2,5,何,80,1,7
1.低,1,1,2,5,低,108,1,7
1.作,1,1,2,5,作,137,2,7
1.住,1,1,2,5,住,141,2,7
1.体,1,1,2,5,体,165,1,7
1.位,1,1,2,5,位,417,1,7
1.佐,1,1,2,5,佐,1002,1,7
1.似,1,1,2,5,似,1172,1,7
1.伺,1,1,2,5,伺,1245,2,7
1.伸,1,1,2,5,伸,1246,2,7
1.伴,1,1,2,5,伴,1423,1,7
1.伯,1,1,2,5,伯,1877,1,7
1.但,1,1,2,5,但,1921,1,7
1.使,1,1,2,6,使,199,1,8
1.供,1,1,2,6,供,418,1,8
1.価,1,1,2,6,価,425,1,8
1.例,1,1,2,6,例,811,1,8
1.依,1,1,2,6,依,890,1,8
1.併,1,1,2,6,併,1250,1,8
1.侮,1,1,2,6,侮,1801,2,8
1.侍,1,1,2,6,侍,1878,2,8
1.佳,1,1,2,6,佳,1928,1,8
1.便,1,1,2,7,便,227,1,9
1.係,1,1,2,7,係,447,1,9
1.信,1,1,2,7,信,640,1,9
1.保,1,1,2,7,保,665,1,9
1.促,1,1,2,7,促,1170,1,9
1.俗,1,1,2,7,俗,1243,2,9
1.侵,1,1,2,7,侵,1244,1,9
1.俊,1,1,2,7,俊,1424,1,9
1.侯,1,1,2,7,侯,1876,1,9
1.侶,1,1,2,7,侶,2123,1,9
1.倍,1,1,2,8,倍,158,2,10
1.借,1,1,2,8,借,182,2,10
1.倒,1,1,2,8,倒,225,1,10
1.値,1,1,2,8,値,426,2,10
1.個,1,1,2,8,個,469,1,10
1.停,1,1,2,9,停,481,1,11
1.倫,1,1,2,8,倫,497,2,10
1.側,1,1,2,9,側,809,1,11
1.俳,1,1,2,8,俳,1167,2,10
1.候,1,1,2,8,候,1174,1,10
1.修,1,1,2,8,修,1175,1,10
1.倣,1,1,2,8,倣,1247,1,10
1.倹,1,1,2,8,倹,1425,2,10
1.俵,1,1,2,8,俵,1426,1,10
1.俸,1,1,2,8,俸,1427,1,10
1.俺,1,1,2,8,俺,2062,1,10
1.健,1,1,2,9,健,1053,1,11
1.偏,1,1,2,9,偏,1176,2,11
1.偶,1,1,2,9,偶,1240,1,11
1.偽,1,1,2,9,偽,1428,1,11
1.偵,1,1,2,9,偵,1765,1,11
1.備,1,1,2,10,備,613,1,12
1.偉,1,1,2,10,偉,1242,2,12
1.傍,1,1,2,10,傍,1429,1,12
1.働,1,1,2,11,働,192,1,13
1.傷,1,1,2,11,傷,835,1,13
1.傾,1,1,2,11,傾,1173,1,13
1.催,1,1,2,11,催,1248,1,13
1.債,1,1,2,11,債,1249,2,13
1.僧,1,1,2,11,僧,1430,2,13
1.傑,1,1,2,11,傑,1431,1,13
1.傲,1,1,2,11,傲,2063,1,13
1.僅,1,1,2,11,僅,2114,1,13
1.像,1,1,2,12,像,940,1,14
1.僚,1,1,2,12,僚,1182,1,14
1.僕,1,1,2,12,僕,1241,1,14
1.億,1,1,2,13,億,650,1,15
1.儀,1,1,2,13,儀,936,2,15
1.儒,1,1,2,14,儒,1891,1,16
1.償,1,1,2,15,償,712,1,17
1.優,1,1,2,15,優,1168,1,17
2.次,1,2,2,4,次,660,2,6
2.冷,1,2,2,5,冷,662,2,7
2.冶,1,2,2,5,冶,2081,1,7
2.凍,1,2,2,8,凍,1094,1,10
2.准,1,2,2,8,准,1635,2,10
2.凄,1,2,2,8,凄,2066,1,10
2.凝,1,2,2,14,凝,1790,1,16
3.十,1,3,2,0,十,10,2,2
3.協,1,3,2,6,協,444,1,8
3.博,1,3,2,10,博,798,1,12
4.口,1,4,3,0,口,167,2,3
4.𠮟,1,4,3,2,𠮟,2097,1,5
4.吸,1,4,3,3,吸,272,2,6
4.叫,1,4,3,3,叫,1291,1,6
4.吐,1,4,3,3,吐,1432,1,6
4.吹,1,4,3,4,吹,259,1,7
4.吟,1,4,3,4,吟,1904,1,7
4.呼,1,4,3,5,呼,197,1,8
4.味,1,4,3,5,味,311,1,8
4.呪,1,4,3,5,呪,2099,1,8
4.咲,1,4,3,6,咲,261,1,9
4.咽,1,4,3,6,咽,1985,1,9
4.唆,1,4,3,7,唆,1433,1,10
4.哺,1,4,3,7,哺,2001,1,10
4.唄,1,4,3,7,唄,2128,1,10
4.喝,1,4,3,8,喝,1434,1,11
4.唯,1,4,3,8,唯,1636,2,11
4.唱,1,4,3,8,唱,1809,1,11
4.唾,1,4,3,8,唾,1984,1,11
4.喫,1,4,3,9,喫,752,1,12
4.喚,1,4,3,9,喚,1435,1,12
4.喉,1,4,3,9,喉,1986,1,12
4.喩,1,4,3,9,喩,2132,1,12
4.嘆,1,4,3,10,嘆,1436,1,13
4.嗅,1,4,3,10,嗅,2055,1,13
4.鳴,1,4,3,11,鳴,487,2,14
4.嘱,1,4,3,12,嘱,1437,1,15
4.噴,1,4,3,12,噴,1633,1,15
4.嘲,1,4,3,12,嘲,2095,1,15
4.嚇,1,4,3,14,嚇,1923,1,17
5.土,1,5,3,0,土,22,2,3
5.地,1,5,3,3,地,146,2,6
5.坂,1,5,3,4,坂,605,2,7
5.坊,1,5,3,4,坊,782,2,7
5.均,1,5,3,4,均,1014,1,7
5.坑,1,5,3,4,坑,1925,2,7
5.坪,1,5,3,5,坪,1913,1,8
5.城,1,5,3,6,城,942,1,9
5.垣,1,5,3,6,垣,1784,1,9
5.埋,1,5,3,7,埋,1261,1,10
5.域,1,5,3,8,域,1072,1,11
5.堀,1,5,3,8,堀,1260,1,11
5.培,1,5,3,8,培,1640,2,11
5.埼,1,5,3,8,埼,1945,1,11
5.堆,1,5,3,8,堆,2014,1,11
5.場,1,5,3,9,場,335,2,12
5.塔,1,5,3,9,塔,1438,1,12
5.塀,1,5,3,9,塀,1439,1,12
5.堪,1,5,3,9,堪,1758,1,12
5.堤,1,5,3,9,堤,1852,1,12
5.塚,1,5,3,9,塚,1889,1,12
5.塩,1,5,3,10,塩,924,1,13
5.塊,1,5,3,10,塊,1753,2,13
5.塡,1,5,3,10,塡,2084,1,13
5.増,1,5,3,11,増,429,2,14
5.境,1,5,3,11,境,1036,1,14
5.墳,1,5,3,12,墳,1888,1,15
5.壊,1,5,3,13,壊,1038,1,16
5.壇,1,5,3,13,壇,1440,1,16
5.壌,1,5,3,13,壌,1650,1,16
6.外,1,6,3,2,外,150,1,5
7.女,1,7,3,0,女,68,2,3
7.奴,1,7,3,2,奴,1871,1,5
7.好,1,7,3,3,好,244,1,6
7.如,1,7,3,3,如,1441,1,6
7.妃,1,7,3,3,妃,1869,2,6
7.妨,1,7,3,4,妨,784,2,7
7.妙,1,7,3,4,妙,1150,2,7
7.妊,1,7,3,4,妊,1330,1,7
7.妖,1,7,3,4,妖,2071,1,7
7.姉,1,7,3,5,姉,77,1,8
7.妹,1,7,3,5,妹,78,1,8
7.始,1,7,3,5,始,129,2,8
7.姓,1,7,3,5,姓,598,2,8
7.妬,1,7,3,5,妬,2092,1,8
7.姻,1,7,3,6,姻,1442,1,9
7.娘,1,7,3,7,娘,601,1,10
7.娯,1,7,3,7,娯,1329,1,10
7.娠,1,7,3,7,娠,1331,2,10
7.姫,1,7,3,7,姫,1868,1,10
7.婚,1,7,3,8,婚,303,1,11
7.婦,1,7,3,8,婦,597,2,11
7.婿,1,7,3,9,婿,600,1,12
7.媒,1,7,3,9,媒,1760,1,12
7.媛,1,7,3,9,媛,1950,1,12
7.嫁,1,7,3,10,嫁,599,1,13
7.嫌,1,7,3,10,嫌,1325,1,13
7.嫉,1,7,3,10,嫉,2091,1,13
7.嫡,1,7,3,11,嫡,1870,2,14
7.嬢,1,7,3,13,嬢,1649,1,16
8.子,1,8,3,0,子,69,2,3
8.孔,1,8,3,1,孔,1881,2,4
8.孤,1,8,3,6,孤,1381,1,9
8.孫,1,8,3,7,孫,448,1,10
9.山,1,9,3,0,山,100,2,3
9.岐,1,9,3,4,岐,1443,2,7
9.岬,1,9,3,5,岬,1850,1,8
9.峡,1,9,3,6,峡,1294,1,9
9.峠,1,9,3,6,峠,1849,1,9
9.峰,1,9,3,7,峰,1848,1,10
9.崎,1,9,3,8,崎,1293,1,11
10.川,1,10,3,0,川,101,2,3
10.順,1,10,3,9,順,952,2,12
11.工,1,11,3,0,工,379,2,3
11.功,1,11,3,2,功,378,2,5
11.巧,1,11,3,2,巧,1786,1,5
11.攻,1,11,3,4,攻,1040,2,7
11.項,1,11,3,9,項,1222,2,12
12.巾,1,12,3,0,巾,2021,2,3
12.帆,1,12,3,3,帆,1444,1,6
12.帳,1,12,3,8,帳,1184,2,11
12.幅,1,12,3,9,幅,897,1,12
12.帽,1,12,3,9,帽,1279,1,12
13.幻,1,13,3,1,幻,1814,1,4
13.幼,1,13,3,2,幼,1099,2,5
14.弓,1,14,3,0,弓,592,2,3
14.引,1,14,3,1,引,257,1,4
14.弦,1,14,3,5,弦,1446,1,8
14.弥,1,14,3,5,弥,1953,1,8
14.弧,1,14,3,6,弧,1447,1,9
14.弱,1,14,3,7,弱,112,1,10
14.強,1,14,3,8,強,111,1,11
14.張,1,14,3,8,張,1185,2,11
14.弾,1,14,3,9,弾,590,2,12
15.行,1,15,3,3,行,58,2,6
15.役,1,15,3,4,役,609,2,7
15.往,1,15,3,5,往,520,2,8
15.彼,1,15,3,5,彼,1146,2,8
15.征,1,15,3,5,征,1389,1,8
15.径,1,15,3,5,径,1448,2,8
15.後,1,15,3,6,後,30,1,9
15.待,1,15,3,6,待,195,2,9
15.律,1,15,3,6,律,519,2,9
15.徒,1,15,3,7,徒,641,1,10
15.従,1,15,3,7,従,642,1,10
15.徐,1,15,3,7,徐,1390,2,10
15.術,1,15,3,8,術,370,2,11
15.得,1,15,3,8,得,643,1,11
15.街,1,15,3,9,街,371,2,12
15.復,1,15,3,9,復,521,2,12
15.御,1,15,3,9,御,919,1,12
15.循,1,15,3,9,循,1387,1,12
15.微,1,15,3,10,微,1149,1,13
15.徳,1,15,3,11,徳,644,1,14
15.徴,1,15,3,11,徴,1148,1,14
15.徹,1,15,3,12,徹,1147,1,15
15.衝,1,15,3,12,衝,1388,2,15
15.衛,1,15,3,13,衛,780,2,16
15.衡,1,15,3,13,衡,1449,2,16
16.忙,1,16,3,3,忙,126,1,6
16.快,1,16,3,4,快,656,1,7
16.性,1,16,3,5,性,421,2,8
16.怪,1,16,3,5,怪,1450,1,8
16.怖,1,16,3,5,怖,1451,1,8
